id_respuesta;texto;es_correcta;id_pregunta
1;Venus;False;1
2;Mars;False;1
3;Mercury;True;1
4;Jupiter;False;1
5;Oxygen;False;2
6;Carbon dioxide;False;2
7;Nitrogen;True;2
8;Helium;False;2
9;Albert Einstein;False;3
10;Hermann Minkowski;True;3
11;Max Planck;False;3
12;Niels Bohr;False;3
13;1492;True;4
14;1487;False;4
15;1512;False;4
16;1678;False;4
17;1776;False;5
18;1789;True;5
19;1804;False;5
20;1812;False;5
21;Genghis Khan;True;6
22;Tamerlane;False;6
23;Kublai Khan;False;6
24;Attila the Hun;False;6
25;Amazon;False;7
26;Yangtze;False;7
27;Mississippi;False;7
28;Nile;True;7
29;Arabian Sea;True;8
30;Mediterranean Sea;False;8
31;Black Sea;False;8
32;Adriatic Sea;False;8
33;Argentina;False;9
34;Chile;True;9
35;Peru;False;9
36;Bolivia;False;9
37;Soccer;False;10
38;Tennis;True;10
39;Basketball;False;10
40;Rugby;False;10
41;Usain Bolt;True;11
42;Michael Phelps;False;11
43;Nathon Allen;False;11
44;Aleen Bailey;False;11
45;Real Madrid;False;12
46;AC Milan;False;12
47;Manchester United;False;12
48;Olympique de Marseille;True;12
49;Vincent van Gogh;False;13
50;Pablo Picasso;False;13
51;Leonardo da Vinci;True;13
52;Michelangelo;False;13
53;Pablo Picasso;False;14
54;Vincent van Gogh;False;14
55;Claude Monet;False;14
56;Salvador Dalí;True;14
57;Albert Camus;False;15
58;Marcel Proust;True;15
59;Jean-Paul Sartre;False;15
60;Victor Hugo;False;15
61;Chris Evans;False;16
62;Robert Downey Jr.;True;16
63;Chris Hemsworth;False;16
64;Mark Ruffalo;False;16
65;Steven Spielberg;False;17
66;Peter Jackson;True;17
67;James Cameron;False;17
68;Ridley Scott;False;17
69;Dark;True;18
70;Babylon Berlin;False;18
71;Deutschland 83;False;18
72;Perfume;False;18
73;Android;False;19
74;Windows Phone;False;19
75;BlackBerry OS;False;19
76;iOS;True;19
77;HighText Machine Language;False;20
78;Home Tool Markup Language;False;20
79;HyperText Markup Language;True;20
80;Hyperlinking Text Management Language;False;20
81;Brute force attack;False;21
82;Man-in-the-Middle attack;True;21
83;Phishing;False;21
84;Denial of Service (DDoS);False;21
85;81;True;22
86;72;False;22
87;92;False;22
88;99;False;22
89;Equilateral triangle;False;23
90;Isosceles triangle;False;23
91;Scalene triangle;False;23
92;Isosceles right triangle;True;23
93;6/10;True;24
94;6/9;False;24
95;6/20;False;24
96;12/20;False;24
97;Madrid;False;25
98;Paris;True;25
99;Rome;False;25
100;Berlin;False;25
101;Gabriel García Márquez;True;26
102;Julio Cortázar;False;26
103;Mario Vargas Llosa;False;26
104;Isabel Allende;False;26
105;United Kingdom;False;27
106;United States;False;27
107;Australia;False;27
108;New Zealand;True;27
109;Michael Jackson;True;28
110;Elvis Presley;False;28
111;Freddie Mercury;False;28
112;Prince;False;28
113;Pink Floyd;True;29
114;The Beatles;False;29
115;Led Zeppelin;False;29
116;The Rolling Stones;False;29
117;The Rite of Spring;True;30
118;Clair de Lune;False;30
119;La Traviata;False;30
120;Messiah;False;30
121;CO₂;False;31
122;O₂;False;31
123;H₂O;True;31
